".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.Direction",,,,"enum(Not_Configured,Normal,Reverse)","O","O","S",,"Normal or reverse resolving.
“Not_Configured”
“Normal”
“Reverse”"
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.DNSServer",,0,1,"ipv4","O","O","S",,"An optional DNS Server. If not specified /etc/resolf.conf will be used."
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.HostName",,,,"string[256]","O","O","S",,"The HostName wich is to be resolved OR, if set to reverse mode, the hostname corresponding to the user provided IP."
".InternetGatewayDevice.X_TPLINO_NET_DNSResolver.IP",,,,"ipv4","O","O","S",,"Resolved IP if in normal mode, or the IP to be reverse resolved"
".InternetGatewayDevice.LANDevice.","LANDev",,,,,,,,
".InternetGatewayDevice.LANDevice.{i}.",,,,"object","-","R",,,"Each instance contains all LAN-related objects for a given bridged subnet."
".InternetGatewayDevice.LANDevice.{i}.LANEthernetInterfaceNumberOfEntries",,"count(LANEthernetInterfaceConfig)",,"unsignedInt","-","R",,,"Number of instances of LANﾭEthernetﾭInterfaceﾭConfig in this LANDevice."
".InternetGatewayDevice.LANDevice.{i}.LANUSBInterfaceNumberOfEntries",,"count(LANUSBInterfaceConfig)",,"unsignedInt","-","R",,,"Number of instances of LANﾭUSBﾭInterfaceﾭConfig in this LANDevice."
".InternetGatewayDevice.LANDevice.{i}.LANWLANConfigurationNumberOfEntries",,"count(WLANConfiguration)",,"unsignedInt","-","R",,,"Number of instances of WLANﾭConfiguration in this LANDevice."
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.","HSCfg",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Configurable",,,,"boolean","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Enable",,,,"boolean","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.LocationId",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.RadiusAuthServer",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.RadiusAcctServer",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.RadiusNASIdentifier",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.RadiusSecret",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.RadiusPasswordEncoding",,,,"enum(RFC,TPOSS)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DisableP2P",,,,"boolean","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Languages",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DefaultBandwidthMinUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DefaultBandwidthMaxUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DefaultBandwidthMinDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DefaultBandwidthMaxDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthMinUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthMaxUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthMinDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.MaxBandwidthMaxDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.DHCPServer",,,,"enum(Internal,External)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.UrlsNumberOfEntries",,"count(Urls)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.","Urls",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.",,,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.Type",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.WelcomeUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.LoginUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.LoginFailureUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.LoginSuccessUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.LogoutUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Urls.{i}.StatusUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGardenNumberOfEntries",,"count(WalledGarden)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGarden.","WG",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGarden.{i}.",,,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGarden.{i}.Type",,,,"enum(IP,DNS)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGarden.{i}.Policy",,,,"enum(Accept,Deny)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.WalledGarden.{i}.Entry",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.ClientsNumberOfEntries",,"count(Clients)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.","Clnts",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.",,0,1,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.IPAddress",,,,"ipv4","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.MACAddress",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ClientToken",,,,"string[32]","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.SessionId",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Username",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Password",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.RadiusAuthStatus",,,,"enum(None,Accepted,Denied,Error)","O","O","S",,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.UserAgent",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.AgentCircuitId",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.AgentRemoteId",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.InterimUpdateInterval",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.SessionTimeout",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.IdleTimeout",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.RedirectUrl",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.X_TPOSS_ReplyCode",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.BandwidthMinUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.BandwidthMaxUp",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.BandwidthMinDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.BandwidthMaxDown",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.LoginTime",,,,"dateTime","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.LastSeen",,,,"dateTime","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.LastAccountingUpdate",,,,"dateTime","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.SessionTime",,1,0,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.LastCounterUpdate",,,,"dateTime","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.InPackets",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.OutPackets",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.InOctets",,,,"unsignedInt64","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.OutOctets",,,,"unsignedInt64","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.AliveCounter",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.TerminateCause",,,,"enum(User-Request,Lost-Carrier,Lost-Service,Idle-Timeout,Session-Timeout,Admin-Reset,Admin-Reboot,Port-Error,NAS-Error,NAS-Request,NAS-Reboot,Port-Unneeded,Port-Preempted,Port-Suspended,Service-Unavailable,Callback,User-Error,Host-Request)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Status",,0,1,"enum(Known,Probabation,Online)","O","O","S",,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.AuthStatus",,0,1,"enum(None,Initiated,Pending,Completed,Error)","O","O","S N",,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ClassNumberOfEntries",,"count(Class)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Class.","Class",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Class.{i}.",,,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.Class.{i}.Class",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ReplyMessageNumberOfEntries",,"count(ReplyMessage)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ReplyMessage.","RplM",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ReplyMessage.{i}.",,,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.Clients.{i}.ReplyMessage.{i}.Message",,,,"string","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.ExternalDHCPServerNumberOfEntries",,"count(ExternalDHCPServer)",,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.ExternalDHCPServer.","eDHCP",,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.ExternalDHCPServer.{i}.",,,,"object",,,,,
".InternetGatewayDevice.LANDevice.{i}.HotSpotConfig.ExternalDHCPServer.{i}.IPAddress",,,,"ipv4","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.","HostCfgMgt",,,"object","-","R",,,"This object enables reporting of LAN-related device information and setting and configuring LAN IP addressing."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPServerConfigurable",,,,"boolean","R","R",,,"Enables the configuration of the DHCP server on the LAN interface.  If this variable is set to false, the CPE should restore its default DHCP server settings."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPServerEnable",,,,"boolean","R","R",,"relay","Enables or disables the DHCP server on the LAN interface."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DHCPRelay",,,,"boolean","O","R",,"relay","Indicates if the DHCP server performs the role of a server (0) or a relay (1) on the LAN interface."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.X_TPLINO_NET_DHCPAllocationPolicy",,,,"enum(Fast,Safe)","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.X_TPLINO_NET_DHCPLimitRate",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.X_TPLINO_NET_DHCPLimitBurst",,,,"unsignedInt","O","O",,,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.X_DM_PoolInfo",,,,"pointer","O","O","i",,
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.MinAddress",,,,"ipv4","R","R",,,"Specifies first address in the pool to be assigned by the DHCP server on the LAN interface."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.MaxAddress",,,,"ipv4","R","R",,,"Specifies last address in the pool to be assigned by the DHCP server on the LAN interface."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.ReservedAddresses",,,,"string","R","R",,,"Comma separated list of addresses marked reserved from the address allocation pool."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.SubnetMask",,,,"ipv4","R","R",,,"Specifies the client's network subnet mask."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DNSServers",,,,"string","R","R",,,"Comma separated list of DNS servers offered to DHCP clients.  Support for more than three DNS Servers is Optional."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.DomainName",,,,"string(64)","R","R",,,"Sets the domain name to provide to clients on the LAN interface."
".InternetGatewayDevice.LANDevice.{i}.LANHostConfigManagement.IPRouters",,,,"string","R","R",,,"Comma separated list of IP addresses of routers on this subnet.  Also known as default gateway.  Support for more than one Router address is Optional."
